,Title,Agency,Department,Department_code,Techniques,Summary,Processed_Summary,Cluster,topics
330,To automate development of proxy models for power generation combustion systems.,National Energy Technology Laboratory,Department of Energy,DOE,OTHER,"Detailed CFD of large combustion systems will be performed.   From 
the results, machine learning will be used to develop fast proxy models 
which can will provide results close to the CFD results, but in a small 
fraction of the time.   These fast models will then be used in real-time 
digital twin models of the power plant, which can be used to help the 
power plant operator to spot instrumentation failures or cyberattacks on 
the plant.",detailed cfd large combustion systems performed results machine learning used develop fast proxy models provide results close cfd results small fraction time fast models used digital twin models power plant used help power plant operator spot instrumentation failures cyberattacks plant,3,"""Asset management"""
331,"To automate RDE image analysis, machine learning for RDE image analysis is being employed.",National Energy Technology Laboratory,Department of Energy,DOE,OTHER,"The expected outcome of this project will be extensive experimental 
data that can provide valuable insight in RDC design, coupling RDC with 
turbomachinery, model validation, and next generation combustion 
sensors that use artificial intelligence and computer vision.         Design 
of an optimized inlet to maximize pressure gain in an RDE relies on an 
understanding of the coupling between the inlet plenums (fuel and air), 
the combustor annular channel, and the exhaust diffusor. This creates a 
challenge for CFD as the models are significant and computationally 
expensive. NETL is continuing a collaboration with the University of 
Michigan to accelerate reacting flow CFD modeling using machine 
learning (ML).",expected outcome project extensive experimental data provide valuable insight rdc design coupling rdc turbomachinery model validation next generation combustion sensors use artificial intelligence computer vision design optimized inlet maximize pressure gain rde relies understanding coupling inlet plenums fuel air combustor annular channel exhaust diffusor creates challenge cfd models significant computationally expensive netl continuing collaboration university michigan accelerate reacting flow cfd modeling using machine learning ml,0,Topic: Internal operations
332,"To build the first data analytics and artificial intelligence field laboratory for unconventional resources in the Powder River Basin, focusing on optimization of hydraulic fracture stimulations through the use of multiple diagnostic technologies.",National Energy Technology Laboratory,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, BIG DATA","To establish a tight oil Field Laboratory in the Powder River Basin and 
accelerate the development of three major unconventional oil resources 
through detailed geologic characterization and improved geologic 
models leading to significant advances in well completion and fracture 
stimulation designs specific to these three formations. Utilize multi-
variate analysis to understand the interrelationship between completion 
and stimulation controls on well productivity.",establish tight oil field laboratory powder river basin accelerate development three major unconventional oil resources detailed geologic characterization improved geologic models leading significant advances well completion fracture stimulation designs specific three formations utilize variate analysis understand interrelationship completion stimulation controls well productivity,11,Asset management
333,To create a data-driven multiscale phytotechnology framework for identification and remediation of leached-metals-contaminated soil.,National Energy Technology Laboratory,Department of Energy,DOE,ARTIFICIAL INTELLIGENCE UNKNOWN,"The project objectives are to integrate satellite remote sensing, machine 
learning and image processing, geological engineering models, and soil 
science and plant pathology to: 1) identify potential leaching of metals 
from coal ash impoundments (Phase I), and 2) propose locally 
adaptable phytoextraction approaches to remediate contaminated 
regions (Phase II).",project objectives integrate satellite remote sensing machine learning image processing geological engineering models soil science plant pathology identify potential leaching metals coal ash impoundments phase propose locally adaptable phytoextraction approaches remediate contaminated regions phase ii,3,Asset management
334,To create and apply machine learning algorithms to predict carbon dioxide enhanced oil revoery improvements with rich gas in the Bell Creek Field and other selected fields.,National Energy Technology Laboratory,Department of Energy,DOE,ARTIFICIAL INTELLIGENCE UNKNOWN,"Create models with ML algorithms to predict CO2 EOR improvements 
with rich gas in the Bell Creek Field and other selected fields. The 
results of these models will be compared with the predictions of CMGâs 
reservoir simulations models.",create models ml algorithms predict eor improvements rich gas bell creek field selected fields results models compared predictions reservoir simulations models,7,"""Asset management"""
335,To create reduced order models for predicting long term performance degradation behavior of fuel cells and electrolyzers.,National Energy Technology Laboratory,Department of Energy,DOE,"BIG DATA, OTHER","Machine learning algorithms are being used to analyze large datasets of 
microstructural and perfromance degradation simulations of various 
electrode microstructres to develop reduced order models that can be 
used for long-term perfromance degradation predictions of large area 
fuel cell/electrolysis cells and cell stacks. The reduced order models can 
be used for dynamic simulations that can more accurately mimic the 
changing loading conditions of the modern grid.",machine learning algorithms used analyze large datasets microstructural perfromance degradation simulations various electrode microstructres develop reduced order models used perfromance degradation predictions large area fuel cells cell stacks reduced order models used dynamic simulations accurately mimic changing loading conditions modern grid,18,Asset management
336,To demonstrate multi-gamma based sensor technology for as-fired coal property measurement,National Energy Technology Laboratory,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, NEURAL NETWORKS","Applying an advanced multigamma attenuation (MGA) sensor to 
accurately and precisely measure coal properties at the point of 
injection into burners.  
One research objective is to perform MGA testing and databases 
development for neural network developed fingerprinting of coal 
properties. This will include neural network refinement with MGA data 
and to upgrade Microbeamâs Combustion System Performance Indices 
(CSPI) â CoalTracker (CT) program with MGA-based neural network 
algorithms.",applying advanced multigamma attenuation mga sensor accurately precisely measure coal properties point injection burners one research objective perform mga testing databases development neural network developed fingerprinting coal properties include neural network refinement mga data upgrade combustion system performance indices cspi coaltracker ct program neural network algorithms,3,Asset management
337,To deploy dynamic neural network optimization to minimize heat rate during ramping for coal.,National Energy Technology Laboratory,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, NEURAL NETWORKS","The primary objective of the proposed work is to 1) deploy dynamic 
neural network optimization (D-NNO) to minimize heat rate during all 
phases of operation (ramping, low load, and high load) at a coal power 
plant. The project will build a high-fidelity, systems-level, dynamic model 
of the plant for a rapid prototyping environment for the D-NNO and to 
allow researchers to better understand the dynamic phenomena that 
occur during ramping and at various plant loads, and  Commercialize D-
NNO as a readily-available software application by working with an 
industry-proven software platform. The plant will be perturbed over time 
to allow machine learning (ML) models to be fitted to the plantâs 
response data.",primary objective proposed work deploy dynamic neural network optimization minimize heat rate phases operation ramping low load high load coal power plant project build dynamic model plant rapid prototyping environment allow researchers better understand dynamic phenomena occur ramping various plant loads commercialize nno software application working software platform plant perturbed time allow machine learning ml models fitted response data,3,Asset management
338,"To design, develop, and demonstrate an AI-integrated physics-based attack resilient proactive system.",National Energy Technology Laboratory,Department of Energy,DOE,ARTIFICIAL INTELLIGENCE UNKNOWN,"Enable ""defense-in-depth"" cyber-physical system (CPS) security and 
resiliency for the distribution grid. The recipient will design, develop, and 
demonstrate a vendor-agonistic scalable Artificial Intelligence Integrated 
Attack-Resilient Proactive System (AI-ARPS) for utility distribution grid 
systems including advanced distribution management system (ADMS) 
and DER management system (DERMS) applications.",enable system cps security resiliency distribution grid recipient design develop demonstrate scalable artificial intelligence integrated proactive system utility distribution grid systems including advanced distribution management system adms der management system derms applications,7,Service delivery
339,"To design, proto-type and demonstrate a miniaturized implementation of a multi-process, high-spatial-resolution monitoring system for boiler condition management.",National Energy Technology Laboratory,Department of Energy,DOE,,"Project will develop control logic for automated control of bituminous 
coal-fired boiler. Plant operational data will be compared against 
monitoring data to determine when different sensor output from a 
miniaturized high temperature multi-process, high-spatial-resolution 
monitoring system signifies damaging conditions in that region of the 
boiler, and what operational changes can be made to eliminate the 
damaging condition. The control logic will be developed for automated 
control of soot-blowing and other boiler operations",project develop control logic automated control bituminous boiler plant operational data compared monitoring data determine different sensor output miniaturized high temperature monitoring system signifies damaging conditions region boiler operational changes made eliminate damaging condition control logic developed automated control boiler operations,19,Asset management
340,To detect leaks and creaks.,National Energy Technology Laboratory,Department of Energy,DOE,ARTIFICIAL INTELLIGENCE UNKNOWN,"The relevant research has been focused on demonstrating applicability 
of novel machine learning based approaches to two major challenges 
associated with safe management of large-scale geologic CO2 storage 
operations, early detection of leaks (i.e., by detecting small leaks) and 
early detection of induced seismicity (i.e. by detecting small seismic 
signals).",relevant research focused demonstrating applicability novel machine learning based approaches two major challenges associated safe management geologic storage operations early detection leaks detecting small leaks early detection induced seismicity detecting small seismic signals,11,"Internal operations: administrative use cases for AI, e.g. notetaking, virtual assistants"
341,To develop 5G integrated edge computing platform for efficient component monitoring in coal-fired power plants,National Energy Technology Laboratory,Department of Energy,DOE,BIG DATA,"Develop an on-demand distributed edge computing platform to gather, 
process, and efficiently analyze the component health data in coal-fired 
power plants. Given that edge computing servers are closer to the field 
devices in modernized power plants, the efficiency of edge computing 
service with respect to dynamic orchestration, resource data collection, 
and health information monitoring will be investigated for timely detection 
of remote faults and to perform diagnosis.",develop distributed edge computing platform gather process efficiently analyze component health data power plants given edge computing servers closer field devices modernized power plants efficiency edge computing service respect dynamic orchestration resource data collection health information monitoring investigated timely detection remote faults perform diagnosis,3,Asset management
342,To develop a deep-learning Artificial Intelligence model for analysis of fundamental combustion characteristics,National Energy Technology Laboratory,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, NEURAL NETWORKS","A deep-learning Artificial Intelligence model will be pursued for rapid 
analysis of detailed fundamental combustion characteristics that support 
the design and troubleshooting process of H2-containing fuel combustor 
development.",artificial intelligence model pursued rapid analysis detailed fundamental combustion characteristics support design troubleshooting process fuel combustor development,9,Asset management
343,To develop a general drag model for assemblies of non-spherical particles created with artificial neural networks,National Energy Technology Laboratory,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, NEURAL NETWORKS","The project plans to develop a more accurate artificial neural network 
(ANN)-based method for modeling the momentum exchange in fluid-
solid multiphase mixtures to significantly improve the accuracy and 
reduce the uncertainty of multiphase numerical codes and, in particular, 
of MFiX, by developing and providing a general and accurate method for 
determining the drag coefficients of assemblies of non-spherical 
particles for wide ranges of Reynolds numbers, Stokes numbers, and 
fluid-solid properties and characteristics. The research team will achieve 
this goal by conducting numerical computations with a validated in-
house CFD code and using artificial intelligence methods to develop an 
ANN that will be implemented in TensorFlow and linked with the MFiX 
code.",project plans develop accurate artificial neural network ann method modeling momentum exchange solid multiphase mixtures significantly improve accuracy reduce uncertainty multiphase numerical codes particular mfix developing providing general accurate method determining drag coefficients assemblies particles wide ranges reynolds numbers stokes numbers properties characteristics research team achieve goal conducting numerical computations validated house cfd code using artificial intelligence methods develop ann implemented tensorflow linked mfix code,2,"""Other"""
344,"To develop a novel platform for secure data logging and processing in fossil fuel power generation systems using blockchain and machine learning to reduce down time for fossil energy power plants, limit reductions of power and reduce cost for repairs.",National Energy Technology Laboratory,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, NEURAL NETWORKS","Machine learning model development will consist of traditional machine 
learning and deep learning algorithms implementation for anomaly 
detection.  Machine learning server will be used to develop the 
traditional models using One-Class Support Vector Machine (SVM) and 
K-Mean Clustering and deep learning models using Recurrent Neural 
Network (RNN) and its various implementations like Long Short-Term 
Memory (LSTM), Gated Recurrent Unit (GRU), Generative Adversarial 
Network (GAN), and Autoencoders using the sensor data collected from 
secure sensor network.",machine learning model development consist traditional machine learning deep learning algorithms implementation anomaly detection machine learning server used develop traditional models using support vector machine svm clustering deep learning models using recurrent neural network rnn various implementations like long memory lstm gated recurrent unit gru generative adversarial network gan autoencoders using sensor data collected secure sensor network,15,Topic: 10. Internal operations
345,"To develop a wireless, distributed data acquisition and interpretation system foe seismic monitoring and carbon storage characterization.",National Energy Technology Laboratory,Department of Energy,DOE,ARTIFICIAL INTELLIGENCE UNKNOWN,"Resensys plans to develop a wireless, distributed data acquisition and 
interpretation system tailored for monitoring and characterization of 
seismic activity at carbon storage sites.  The seismicity data collected in 
real time during the CO2 storage site characterization and sequestration 
processes combined with advanced signal processing and Artificial 
Intelligence and Machine Learning (AI/ML) methodologies provide an 
understanding of natural seismicity risks prior to any CO2 injection, prior 
to making large investments in developing the storage project.",resensys plans develop wireless distributed data acquisition interpretation system tailored monitoring characterization seismic activity carbon storage sites seismicity data collected real time storage site characterization sequestration processes combined advanced signal processing artificial intelligence machine learning methodologies provide understanding natural seismicity risks prior injection prior making large investments developing storage project,17,Asset management
346,To develop an AI-driven integrated autonomous robotic visual inspection (RVI) platform.,National Energy Technology Laboratory,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, ROBOTIC PROCESSING AUTOMATION (RPA)","The overall objective of the research is to develop an AI-driven 
integrated autonomous robotic visual inspection (RVI) platform that can 
perform real-time defect identification, dynamic path planning, and safe 
navigation in a closed-loop manner. The",overall objective research develop integrated autonomous robotic visual inspection rvi platform perform defect identification dynamic path planning safe navigation manner,3,Asset management
347,To develop an Artificial intelligence- based model for rotating detonation engine designs,National Energy Technology Laboratory,Department of Energy,DOE,ARTIFICIAL INTELLIGENCE UNKNOWN,"An artificial intelligence-based model will be used to develop low-loss 
rotating detonation engine (RDE) designs for use in power generation 
using natural gas/syngas mixtures. The model formulation will enable full-
scale RDE calculations over 100-1000 detonation cycles.",artificial model used develop rotating detonation engine rde designs use power generation using natural mixtures model formulation enable scale rde calculations detonation cycles,1,Asset management
348,To develop and create an autonomous robotic inspection system.,National Energy Technology Laboratory,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, ROBOTIC PROCESSING AUTOMATION (RPA)","The goal of the project is to prevent negative environmental and 
socioeconomic impacts of coal waste (coal ash and tailings) by 
developing an aerial robot-enabled inspection and monitoring system of 
active and abandoned coal ash and tailings storage facilities. The first 
objective of this project is the development of a programmable drone, 
equipped with several complementary sensors, that will autonomously 
inspect several structures of a storage facility. The second objective of 
this project is to create artificial intelligence-based hazard detection 
algorithms that will use multispectral and georeferenced images (i.e., 
thermal and visual) and 3D Point Clouds data collected by an 
autonomous drone to detect hazards in the storage facility structure that 
would indicate uncontrolled leakage to the environment or lead to the 
potential failure of the structure.",goal project prevent negative environmental socioeconomic impacts coal waste coal ash tailings developing aerial inspection monitoring system active abandoned coal ash tailings storage facilities first objective project development programmable drone equipped several complementary sensors autonomously inspect several structures storage facility second objective project create artificial hazard detection algorithms use multispectral georeferenced images thermal visual point clouds data collected autonomous drone detect hazards storage facility structure would indicate uncontrolled leakage environment lead potential failure structure,17,Service delivery
349,To develop and demonstrate drone- based geophysical and remote- sensing technologies to quantify critical minerals (CM).,National Energy Technology Laboratory,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, ROBOTIC PROCESSING AUTOMATION (RPA)","To develop and demonstrate drone-based geophysical and remote-
sensing technologies to quantify critical minerals (CM) in coal, coal 
related, unconventional and secondary sources or energy related waste 
streams. Drone-based geophysical surveys and remote sensing 
combined with artificial intelligence/machine learning (AI/ML) analytics 
for real-time integration and analytics has potential to transform 
characterization and monitoring for CM from conventional and 
secondary resources.",develop demonstrate geophysical sensing technologies quantify critical minerals cm coal coal related unconventional secondary sources energy related waste streams geophysical surveys remote sensing combined artificial learning analytics integration analytics potential transform characterization monitoring cm conventional secondary resources,7,Asset management
350,To develop and evaluate a general drag model for gas-solid flows via physics-informed deep machine learning,National Energy Technology Laboratory,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, NEURAL NETWORKS","The project will evaluate the performance of several ANN algorithms for 
machine learning, pertinent to the deep neural network (DNN) 
algorithms. The DNN candidates will include random forest (RF), BPNN, 
XGBoost, and other supervised deep neural network algorithms. The 
best DNN algorithm will be identified by ranking of these algorithmsâ 
performance. The Recipient will integrate the deep learning ANN model 
(DNN model) into the multiphase flow simulation software MFiX-DEM, 
which is part of the NETLâs open source CFD suite of software MFiX. 
The DNN based drag model developed on TensorFlow will be 
implemented using NETLâs existing software links between MFiX and 
TensorFlow.",project evaluate performance several ann algorithms machine learning pertinent deep neural network dnn algorithms dnn candidates include random forest rf bpnn xgboost supervised deep neural network algorithms best dnn algorithm identified ranking performance recipient integrate deep learning ann model dnn model multiphase flow simulation software part open source cfd suite software mfix dnn based drag model developed tensorflow implemented using existing software links mfix tensorflow,3,"Internal operations: administrative use cases for AI, e.g. notetaking, virtual assistants"
351,To develop and validate sensor hardware and analytical algorithms to lower plant operating expenses for the pulverized coal utility boiler fleet,National Energy Technology Laboratory,Department of Energy,DOE,,"The objective is to develop and validate sensor hardware and analytical 
algorithms to lower plant operating expenses for the pulverized coal 
utility boiler fleet. The focus is on relatively inexpensive new âInternet of 
Thingsâ technologies to minimize capital investment. Three technologies 
will be explored for demonstration and full-scale testing in a coal-fired 
power plant. The first focuses on gas and steam temperature control 
issues at low load. The second uses sensors and analytic algorithms for 
monitoring coal pulverizer operation at lower loads to reduce the 
minimum firing capability of coal burners. The third investigates new 
sensors and advanced controls to better balance air and fuel at each 
burner enabling reduction in the minimum firing capability of coal 
burners.",objective develop validate sensor hardware analytical algorithms lower plant operating expenses pulverized coal utility boiler fleet focus relatively inexpensive new technologies minimize capital investment three technologies explored demonstration testing power plant first focuses gas steam temperature control issues low load second uses sensors analytic algorithms monitoring coal pulverizer operation lower loads reduce minimum firing capability coal burners third investigates new sensors advanced controls better balance air fuel burner enabling reduction minimum firing capability coal burners,3,Asset management
352,To develop artificial intelligence- enabled tools (ArtIT) for cyber hardening of power grids.,National Energy Technology Laboratory,Department of Energy,DOE,ARTIFICIAL INTELLIGENCE UNKNOWN,"To develop a novel resiliency framework for power grids by integrating 
different theories, such as closed-loop controls, security, agility, formal 
reasoning and synthesis, machine learning, and laboratory setup 
demonstration. The framework will provide enhanced resiliency to wide-
area control operations in cyberattacks.",develop novel resiliency framework power grids integrating different theories controls security agility formal reasoning synthesis machine learning laboratory setup demonstration framework provide enhanced resiliency area control operations cyberattacks,19,Service delivery
353,To develop drag models for non- spherical particles through machine learning,National Energy Technology Laboratory,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, NEURAL NETWORKS","Produce comprehensive experimental and numerical datasets for gas-
solid flows in well-controlled settings to understand the aerodynamic 
drag of non-spherical particles in the dense regime. The datasets and 
the gained knowledge will train deep neural networks to formulate a 
general drag model for use directly in NETL MFiX-DEM module. This will 
help to advance the accuracy and prediction fidelity of the computational 
tools that will be used in designing and optimizing fluidized beds and 
chemical looping reactors",produce comprehensive experimental numerical datasets solid flows settings understand aerodynamic drag particles dense regime datasets gained knowledge train deep neural networks formulate general drag model use directly netl module help advance accuracy prediction fidelity computational tools used designing optimizing fluidized beds chemical looping reactors,12,Asset management
354,To develop high fidelity tools which run in near real time not only help in the field to guide and optimize complex operations but can be used as digital twins,National Energy Technology Laboratory,Department of Energy,DOE,BIG DATA,"To develop high fidelity tools which run in near real time not only help in 
the field to guide and optimize complex operations but can be used as 
digital twins for cyber security and cyber-physical modeling.",develop high fidelity tools run near real time help field guide optimize complex operations used digital twins cyber security modeling,8,Service delivery
355,To develop innovative biomonitoring and remediation of heavy metals using phytotechnologies.,National Energy Technology Laboratory,Department of Energy,DOE,ARTIFICIAL INTELLIGENCE UNKNOWN,"The objective of the work is to utilize algal- and cyanobacterial-based 
phycotechnologies to address pervasive heavy metal contamination 
from coal combustion product (CCP) impoundments at the Savannah 
River Site. Novel bioindicators will be developed to gauge the potential 
for phytoremediation to restore legacy impoundment sites.",objective work utilize phycotechnologies address pervasive heavy metal contamination coal combustion product ccp impoundments savannah river site novel bioindicators developed gauge potential phytoremediation restore legacy impoundment sites,2,Topic: Asset management
356,To develop low cost conversion of coal to graphene,National Energy Technology Laboratory,Department of Energy,DOE,"NATURAL LANGUAGE PROCESSING, NEURAL NETWORKS","Demonstrate the techno-economical feasibility of a 250 ton/day 
manufacturing facility to convert coal to high-quality graphene. The core 
technology is based on flash joule heating (FJH) to convert various 
coals to graphene. Machine learning algorithms will map out the 
correlation of processing parameters with the final product (graphene 
yield, quality, dimensions).",demonstrate feasibility manufacturing facility convert coal graphene core technology based flash joule heating fjh convert various coals graphene machine learning algorithms map correlation processing parameters final product graphene yield quality dimensions,7,Asset management
357,"To drive insights on emissions from natural gas production, storage, and transmission to determine how best to reduce emissions",National Energy Technology Laboratory,Department of Energy,DOE,"BIG DATA, OTHER","AI/ML will be used to recognice patterns in well integrity records that 
could predict failure events",used recognice patterns well integrity records could predict failure events,1,"""Program integrity"""
358,To drive insights on environmental performance of the natural gas system to inform effective mitigation strategies,National Energy Technology Laboratory,Department of Energy,DOE,"BIG DATA, OTHER","Life Cycle Analysis models will be used to define and estimate 
environmental parameters/performance",life cycle analysis models used define estimate environmental,9,Asset management
359,To drive insights on pipeline maintenance and repair strategies to reduce incidents of pipeline leakage; support evaluation of use and reuse strategies,National Energy Technology Laboratory,Department of Energy,DOE,"BIG DATA, OTHER","ML will be used to develop a pipeline risk assessment geospatial model 
and support evaluation of use and reuse opportunities.",ml used develop pipeline risk assessment geospatial model support evaluation use reuse opportunities,17,Asset management
360,To drive insights on water recovery from cooling tower plumes,National Energy Technology Laboratory,Department of Energy,DOE,,"Study of plume formation and collection on mechanical (induced) draft 
cooling towers, partly in a high-fidelity controlled environment and partly 
on a full-scale industrial cooling tower. It will start by building the needed 
laboratory setup and installing various sensors on the lab cooling tower. 
At the same time a computational fluid dynamics (CFD) model will be 
implemented to get precise full-scale plume models. Using the insights 
into power-plant plume characteristics the project will iterate on and 
experimentally test electrodes and collectors, which make up modular 
panels, on the lab cooling tower. What has been learned from the full-
scale plume modeling and sensor data analysis will then be applied to 
develop a design model to build the optimal collection apparatus for 
given working conditions",study plume formation collection mechanical induced draft cooling towers partly controlled environment partly industrial cooling tower start building needed laboratory setup installing various sensors lab cooling tower time computational fluid dynamics cfd model implemented get precise plume models using insights plume characteristics project iterate experimentally test electrodes collectors make modular panels lab cooling tower learned scale plume modeling sensor data analysis applied develop design model build optimal collection apparatus given working conditions,15,Topic: Asset management
361,To drive insights through data-driven predictive modeling to forecast the remaining lifespan and future risk of offshore production platforms.,National Energy Technology Laboratory,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, BIG DATA, NEURAL NETWORKS, OTHER","An Artificial Neural Network and Gradient Boosted Regression Tree 
were developed and applied to predict the remaining lifespan of 
production platforms. These big data-driven models resulted in 
predictions with scored accuracies of 95â97%.",artificial neural network gradient boosted regression tree developed applied predict remaining lifespan production platforms big models resulted predictions scored accuracies,5,Asset management
362,"To drive insights using machine learning-based dynamics, control, and health models and tools developed by NETL to gain valuable operational data, insights, and",National Energy Technology Laboratory,Department of Energy,DOE,OTHER,"ML will be used to develop dynamics, controls, and health models for 
operating power generation facilities",ml used develop dynamics controls health models operating power generation facilities,8,Service Delivery
363,To employ machine learning to study the dependence of electrochemical performance on microstructural details,National Energy Technology Laboratory,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, NEURAL NETWORKS","With a significant number of images. The Recipient will build deep 
learning methods at the object detection stage using the Region Based 
Convolutional Neural Network (RCNN) or You Only Look Once (YOLO) 
class of algorithms, the heart of which is a deep learning image 
classifier. Deep learning algorithms will also be built using convolutional 
layers followed by residual layers to extract feature vector descriptors in 
the second stage. In the third and fourth stages of affinity and 
association, a recurrent neural network approach can be used to build a 
tracker. All of these approaches require a large training set that will 
enable sophisticated models to be built to handle the complexity of the 
application.
With a limited number of images. In the case that there is are a limited 
number of images, the Recipient will still be able to follow the processing 
pipeline. The recipient will determine a suitable approach, with 
concurrence from the project manager. Two potential approaches 
include:
â¢ Transfer learning: training the image classifier in the object detector on 
images of similar quality and appearance, and 
â¢ Match filtering: detection, feature extraction, and matching based on 
traditional image processing and computer vision techniques.",significant number images recipient build deep learning methods object detection stage using region based convolutional neural network rcnn look yolo class algorithms heart deep learning image classifier deep learning algorithms also built using convolutional layers followed residual layers extract feature vector descriptors second stage third fourth stages affinity association recurrent neural network approach used build tracker approaches require large training set enable sophisticated models built handle complexity application limited number images case limited number images recipient still able follow processing pipeline recipient determine suitable approach concurrence project manager two potential approaches include transfer learning training image classifier object detector images similar quality appearance match filtering detection feature extraction matching based traditional image processing computer vision techniques,11,Topic: Asset management
364,To enhance the SimCCS toolset to better account for existent infrastructure and to more broadly engage other user bases to improve toolset performance and applicability.,National Energy Technology Laboratory,Department of Energy,DOE,ARTIFICIAL INTELLIGENCE UNKNOWN,"Continue development of the SimCCS toolset, which is utilized to 
determine optimal placement for CO2 pipeline rights of way (ROW) and 
infrastructure in a machine-learning driven methodology that that 
considers environmentally sensitive areas, Justice40 considerations, 
and utilization of existent infrastructure.",continue development simccs toolset utilized determine optimal placement pipeline rights way row infrastructure driven methodology considers environmentally sensitive areas considerations utilization existent infrastructure,5,Asset management
365,To evaluate current infrastructure throughout a study area and evaluating future infrastructure needs to accelerate the deployment of CCUS,National Energy Technology Laboratory,Department of Energy,DOE,ARTIFICIAL INTELLIGENCE UNKNOWN,"One key task focuses on evaluating current infrastructure throughout the 
Initiative study area and evaluating future infrastructure needs to 
accelerate the deployment of CCUS. LANL will utilize its unique 
technologies for this project focusing on SimCCS, with a minor 
consulting role using NRAP and machine learning algorithms.",one key task focuses evaluating current infrastructure throughout initiative study area evaluating future infrastructure needs accelerate deployment ccus lanl utilize unique technologies project focusing simccs minor consulting role using nrap machine learning algorithms,16,Asset management
366,To expore and analtze hydrogen- fueled rotating detonation engines using advanced turbulent combustion modeling and high- fidelity simultion tools.,National Energy Technology Laboratory,Department of Energy,DOE,ARTIFICIAL INTELLIGENCE UNKNOWN,"(1) analysis of injector design effects on RDE parasitic combustion; (2) 
understanding the impact of RDE ignition mechanism and initial 
transients on the ensuing detonation wave behavior; (3) deployment and 
assessment of machine learning assisted turbulent combustion models 
for predictive and computationally-efficient RDE CFD simulations; and 
(4) development of a highly scalable high-order CFD modeling 
framework for scale-resolving simulations of full-scale RDEs and 
investigation of TCI and wall boundary layer effects.(1) analysis of 
injector design effects on RDE parasitic combustion; (2) understanding 
the impact of RDE ignition mechanism and initial transients on the 
ensuing detonation wave behavior; (3) deployment and assessment of 
machine learning assisted turbulent combustion models for predictive 
and computationally-efficient RDE CFD simulations; and (4) 
development of a highly scalable high-order CFD modeling framework 
for scale-resolving simulations of full-scale RDEs and investigation of 
TCI and wall boundary layer effects.",analysis injector design effects rde parasitic combustion understanding impact rde ignition mechanism initial transients ensuing detonation wave behavior deployment assessment machine learning assisted turbulent combustion models predictive rde cfd simulations development highly scalable cfd modeling framework simulations rdes investigation tci wall boundary layer effects analysis injector design effects rde parasitic combustion understanding impact rde ignition mechanism initial transients ensuing detonation wave behavior deployment assessment machine learning assisted turbulent combustion models predictive rde cfd simulations development highly scalable cfd modeling framework simulations rdes investigation tci wall boundary layer effects,17,Topic: 11. Other
367,To fill critical data gaps in big data analytics and machine learning applications to inform decision making and improve the ultimate recovery of unconventional oil and natural gas resources.,National Energy Technology Laboratory,Department of Energy,DOE,"ARTIFICIAL INTELLIGENCE, BIG DATA","Project will conduct numerical analysis of all-digital pressure sensing 
technology will be used to create a synthetic dataset with downhole 
pressure sensor readings for each stage and will be analyzed 
statistically with DA to integrate with software.",project conduct numerical analysis pressure sensing technology used create synthetic dataset downhole pressure sensor readings stage analyzed statistically da integrate software,15,Asset management
368,"To help automate data discovery and preparations to support a range of CS models, tools, and products",National Energy Technology Laboratory,Department of Energy,DOE,"BIG DATA, NATURAL LANGUAGE PROCESSING, OTHER","AI & ML are used to help collect and process data from multipel sources 
to further integrate and characterize infromation to provide additional 
data and infromation to support a range of carbon storage work",ai ml used help collect process data multipel sources integrate characterize infromation provide additional data infromation support range carbon storage work,15,Service delivery
369,To help automate data integration and exploration for geologic core properties related information.,National Energy Technology Laboratory,Department of Energy,DOE,"BIG DATA, NATURAL LANGUAGE PROCESSING, OTHER","Using natural language processing, deep learning neural networks, and 
possibly tensor flow for image analytics.",using natural language processing deep learning neural networks possibly tensor flow image analytics,12,Service / benefits access
370,To identify and characterization REE- CM hot zones using machine learning-aided multi-physics.,National Energy Technology Laboratory,Department of Energy,DOE,ARTIFICIAL INTELLIGENCE UNKNOWN,"Develop and field demonstrate a machine learning (ML)-aided multi-
physics approach for rapid identification and characterization of REE-
CM hot zones in mine tailings with a focus on coal and sulfide mine 
tailings or other processing or utilization byproducts, such as fly ash and 
refuse deposits.",develop field demonstrate machine learning ml physics approach rapid identification characterization cm hot zones mine tailings focus coal sulfide mine tailings processing utilization byproducts fly ash refuse deposits,7,Asset management
